tolerance,time,version
0.01,0.3234989643096924,1.8.0
0.001,0.5909750461578369,1.8.0
0.0001,1.6692590713500977,1.8.0
0.01,0.7521798610687256,1.7.2
0.001,1.690615177154541,1.7.2
0.0001,6.265363931655884,1.7.2
