dataset,data_id,n_samples,n_features,n_classes,n_splits,C,log_loss,log_loss_std,n_features_full,trace_gram,fit_time,solver
sf-police-incidents,42732,2215023,8,2,5,0.00001,0.36871946452926896,0.0010801374681434054,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.00001584893192461114,0.3684396632089885,0.0010801642559808942,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.000025118864315095822,0.36811409615969526,0.0010801451509821769,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.000039810717055349695,0.36776873008685423,0.0010807593585748189,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.00006309573444801929,0.36743488768853544,0.0010823283124105308,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.0001,0.3671362259952547,0.0010849444996572654,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.00015848931924611142,0.3668710875425005,0.0010882354402080362,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.0002511886431509582,0.36661087701195777,0.001091947435463154,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.00039810717055349735,0.3663256411011207,0.0010948801609972846,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.000630957344480193,0.36597451959670707,0.001096835535433774,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.001,0.3655193044865105,0.0010970554696392238,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.001584893192461114,0.3655193044865105,0.0010970554696392238,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.002511886431509582,0.36419308194879035,0.0010917009656192104,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.003981071705534973,0.36419308194879035,0.0010917009656192104,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.006309573444801936,0.36419308194879035,0.0010917009656192104,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.01,0.36419308194879035,0.0010917009656192104,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.01584893192461114,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.025118864315095822,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.039810717055349734,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.06309573444801936,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.1,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.15848931924611143,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.25118864315095824,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.39810717055349776,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,0.6309573444801942,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,1.0,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,1.584893192461114,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,2.5118864315095824,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,3.9810717055349776,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,6.309573444801943,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,10.0,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,15.848931924611142,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,25.11886431509582,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,39.81071705534978,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,63.09573444801943,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,100.0,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,158.48931924611142,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,251.18864315095823,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,398.1071705534977,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,630.9573444801943,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,1000.0,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,1584.8931924611175,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,2511.886431509582,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,3981.071705534969,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,6309.573444801943,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,10000.0,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,15848.931924611174,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,25118.864315095823,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,39810.71705534986,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,63095.73444801943,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,100000.0,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
sf-police-incidents,42732,2215023,8,2,5,158489.31924611173,0.36000274991199943,0.001051595255218443,14249,36862099817.22783,177.51464219400077,newton-cg
